Thai,English
แยกทางหลวงหมายเลข 333 (กม.ที่ 42+000) - บ้านหนองหลอด,Highway 333 (km 42+000) - Ban Nong Lot
แยกทางหลวงหมายเลข 2247 (กม.ที่ 3+130) - บ้านวังม่วง,Highway 2247 (Km 3+130) - Ban Wang Muang
แสมดำ - สะพานข้ามแม่น้ำท่าจีนฝั่งตะวันตก,Samae Dam - Bridge over the Tha Chin River on the west side
แยกพงษ์เพชร - สะพานพระนั่งเกล้า,Pong Phet Intersection - Phra Nang Klao Bridge
สระกระโจม - บ้านไร่,Capture Pool - Ban Rai
เขาไร่ยา - จันทบุรี,Khao Rai Ya -Chanthaburi
บางนา-ชลบุรี,Bang Na-Chon Buri
ทางเลี่ยงเมืองอ่างทอง,Ang Thong Avoid way
บางพรม - สมุทรสงคราม,Bang Phrom - Samut Songkhram
วังยาว - หนองหมู,Wang Yao - Nong Mu
มวกเหล็ก - บ่อทอง,Muak Lek - Bo Thong
หนองวัลย์เปรียง - สองพี่น้อง,Nong Wan Priang - Two Brothers
สบทุ - บ้านหย่วน,Sob - Ban Yuan
ดอนรังนก - หางน้ำหนองแขม,Don Nok - Nong Khaem
แยกทางหลวงหมายเลข 408 (กม.ที่ 48+900) - เขตเทศบาลระโนด (ตอนนครศรีธรรมราช),Highway 408 (km 48+900) - Ranot Municipality (Nakhon Si Thammarat episode)
โหล๊ะจังกระ - บ้านนา,Ho Jang Kra - Ban Na
แยกทางหลวงหมายเลข 23 (กม.ที่ 93+250) - บ้านดงใหญ่,Highway 23 (km 93+250) - Ban Dong Yai
สี่แยกช้างเผือก - ปัว,Chang Phueak intersection - Pua
อู่ยา - ดอนเจดีย์,Garage - Don Chedi
พิษณุโลก - บางกระทุ่ม,Phitsanulok - Bang Krathum
ปทุมธานี - ท้ายเกาะ,Pathum Thani - Tai Island
นครหลวง - อ่างทอง,Nakhon Luang - Ang Thong
แยกทางหลวงหมายเลข 3263 (กม.ที่ 27+895) - บ้านเทพมงคล,Highway intersection number 3263 (Km. 27+895) - Ban Thep Mongkol
ดอนเจดีย์ - สระกระโจม,Don Chedi
วังประจบ - ลานทอง,Palace Floating - Lan Thong
แยกทางหลวงหมายเลข 12 (กม.ที่ 361+040) - เขตเทศบาลเมืองหล่มสัก,Highway 12 (Km 361+040) - Lom Sak Municipality
ภูสวรรค์ - เลย,Phu Sawan - Loei
แยกทางหลวงชนบทหมายเลข ชร.3037 (กม.ที่ 5+300) - เกษตรที่สูงวาวี,"Junction of Rural Road, Chor. 3037 (km 5+300) - high agriculture, Wawee"
คลองหลวงแพ่ง - ฉะเชิงเทรา,Khlong Luang Prathang - Chachoengsao
โนนศรีคูณ - หนองผะองค์,Non Sri Koon - Nong Pha Ong
แม่อาว - ดอนมูล,Mae Ao -Don Mun
หนองกระดี่  - คลองข่อย,Nong Krai - Khlong Khoi
บ้านโตก - หัวนา,Ban Tok -Hua Na
ตาลาด - หนองแวงโสกพระ,Tad - Nong Waeng Sok Phra
บางปะอิน - คลองพระยาสุเรนทร์,Bang Pa -in - Khlong Phraya Suren
ตลาดเก่า - คลองท่อม,Old Market - Khlong Thom
ลี้ - ม่วงโตน,Li -Muang Ton
แสนภูดาษ - ฉะเชิงเทรา,Saen Phudas - Chachoengsao
จรอกใหญ่ - กระเทียม,Big breast - garlic
เขาคราม - ตลาดเก่า,Khao Khram - Old Market
ท่าไคร้ - แม่ฮ่องสอน,Tha Krai - Mae Hong Son
นิคม - บ้านดุง,Nikom - Ban Dung
แม่สอด - ห้วยน้ำริน,Mae Sot - Huai Nam Rin
ดาวคะนอง -  แสมดำ,Dao Khanong - Samae Dam
นครราชสีมา - ดอนหวาย,Nakhon Ratchasima - Don Wai
บ้านใหม่ - น้ำแวน,New house - Van
บ้านพม่า - ห้วยทับทัน,Burmese - Huai Thap Than
สีคิ้ว - หนองรี,Sikhio - Nong Ri
ซับสมอทอด - หนองไผ่,Fried anchor - Nong Phai
ห้วยสำราญ - แยกโคกตาล,Huai Samran - Khok Tan Intersection
ถนนศรีนครินทร์ - บางปะกง,Srinakarin -Bang Pakong Road
โพนทอง - แก้งสนามนาง,Phon Thong - Kaeng Sanam Nang
วังสีสูบ - ผาเลือด,Wang Si Pok - Pha Blood
ปากแซง - หน้าค่าย ตชด.,Pak Saeng - in front of the CDC.
บ้านกระบี่ใหญ่ -บ้านโพธิ์เรียง,Krabi Yai House -Ban Pho Riang
แหลมงอบ - แสนตุ้ง,Laem Ngob -Saen Tung
ขอนแก่น - หินลาด,Khon Kaen - Hin Lat
แยกทางหลวงหมายเลข 333 (กม.ที่ 19+400) - บ้านเขาทอก,Highway 333 (km 19+400) - Ban Khao Thok
นาโคก - แพรกหนามแดง,Nokok - Phraek Nam Daeng
แยกทางหลวงหมายเลข 304 (กม.ที่ 55+000) - บ้านท่ามะปรางค์,Highway intersection number 304 (km 55+000) - Ban Tha Maprang
พระประโทน - สระกระเทียม,Phra Prathon - Garlic Pool
ลาดบัวหลวง - สาลี,Lat Bua Luang -wheat
บางกุ้ง - เขาหัวช้าง,Bang Kung - Khao Hua Chang
สบบง - ขุนห้วยไคร้,Sop Bong -Khun Huai Khrai
คลองมหาสวัสดิ์ - คลองบางไผ่,Khlong Mahasawat - Khlong Bang Phai
ห้วยแล้ง - น้ำชุน,Huai Deng - Nam Chun
หนองห้า - สวนป่า,Nong Ha - Forest Park
ตลาดแค - วังหิน,Khae -Wang Hin Market
ลำปำ - พัทลุง,Lampam -Phatthalung
น้ำพอง - น้ำอ้อม,Nam Phong - Nam Om
น้ำซึม - โสกกล้า,Water absorption - Sokkla
แม่สลิดหลวง - แม่เงา,Mae Salit Luang - Mae Ngao
คลองแม่ลาย - อุ้มผาง,Mae Lai -Umphang Canal
ถนนวงแหวนรอบเมืองสุพรรณบุรี,Ring Road around Suphanburi
หัวช้าง - แยกการช่าง,Elephant head - separate mechanic
ห้วยกอก - ห้วยอ่วม,Huai Kok - Huai Uam
โคกสวาย - แขวงทางหลวงนครราชสีมาที่ 1,Khok Sawai - Nakhon Ratchasima Highway 1
พัทลุง - นาโหนด,Phatthalung -Nodo
วังเจ้า - ตาก,Wang Chao -Tak
แยกทางหลวงหมายเลข 2393 (กม.ที่ 15+166) - บ้านศรีธาตุ,Highway 2393 (km 15+166) - Ban Si That
แยกทางหลวงหมายเลข 23 (กม.ที่ 226+350) - บ้านปอแดง,Highway 23 (km at 226+350) - Ban Por Daeng
แม่สลิดหลวง - แม่ระเมิง,Mae Salit Luang - Mae Rameng
มหาสารคาม - หนองขอน,Maha Sarakham - Nong Khon
แหลมข่อย - บึงฉวากด้านทิศเหนือ,Laem Khoi - Bueng Chawak on the north side
เกาะมุกข์ - ควนรา,Koh Mook - Khuanra
ด่านซ้าย - เหมืองแพร่,Dan Sai - Phrae Mine
อ้อมน้อย - สมุทรสาคร,Omnoi - Samut Sakhon
ดอนไร่ -  อ่างเก็บน้ำกระเสียว,Don Rai - Kra Siao Reservoir
ลำดวน - สังขะ,Lamduan -Sangkha
ปงสนุก - น่าน,Pong Sanook - Nan
นครสวรรค์ - หนองเต่า,Nakhon Sawan - Nong Tao
ปากน้ำ - โรงพยาบาลสรรคบุรี,Pak Nam - Sankhaburi Hospital
น้ำพุ - เหมืองผาปกค้างคาว,Fountain - Pha Pok Kao
ศรีธาตุ - วังสามหมอ,Sri That - Wang Sam Doctor
ปางโก - กุดม่วง,Pangko -Kut Muang
วังขอน-ดอนแจง,Wang Khon-Don Chang
กุดชุม - เลิงนกทา,Kut Chum - Loeng Nok Tha
แยกทางหลวงหมายเลข 4027 (กม.ที่ 3+950) -บ้านผักฉีด,Highway intersection number 4027 (Km 3+950) -Ban Phak Khet
คลองมอญ - หนองบัว,Mon - Nong Bua Canal
ทุ่งหวัง - นาทวี,Thung Wang -Nathawi
ค่ายรวมมิตร - คลองขุด,Ruammit Camp - Khlong Dig
บางสวรรค์ - ทรัพย์ทวี,Some heaven -property
เขาพับผ้า - พัทลุง,He folded the fabric - Phatthalung.
แยกทางหลวงหมายเลข3272(กม.ที่ 34+379) - บ้านอีต่อง,Highway intersection number 3272 (km 34+379) - Ban E Tong
แยกทางหลวงหมายเลข 11 (กม.ที่ 46+750) - บ้านใหม่,Highway 11 (km 46+750) - New House
นครนายก - บางหอย,Nakhon Nayok - Bang Hoi
แยกทางหลวงหมายเลข 4 (กม.ที่ 146+400) -บ้านบางทราย,Highway 4 (km 146+400) -Ban Bang Sai
แยกทางหลวงหมายเลข 3143 (กม.ที่ 6+400) - บ้านหนองสนม,Highway 3143 (Km 6+400) - Ban Nong Sanom
บ้านผือ - ข้าวสาร,Ban Phue - Khao San
ท่าตูม - หนองฮู,Tha Tum - Nong Hu
ไชยเจริญ - บ้านด้าย,Chai Charoen - Ban Yai
หนองแก - บ้านฝาง,Nong Kae - Ban Fang
หนองข้างคอก - ตะเคียนเตี้ย,Nong Kong Khok - Takhian Tia
บางปะกง - หนองรี,Bang Pakong - Nong Ri
แยกทางหลวงหมายเลข 32 (กม.ที่ 51+700) - บ้านหันสังห์,Highway intersection number 32 (km 51+700) - Ban Han Sang
จร้าใหม่ - เลาขวัญ,New - Lao Kwan
โซ่พิสัย - ปากคาด,Chain
บ้านดอน - พญาเม็งราย,Ban Don - Phaya Mengrai
สบทา - ท่าลี่,Sop Tha -Tha Li
ศรีเวียง - แม่เลียบ,Sri Wiang - Mae Liao
แยกทางหลวงหมายเลข 3395 (กม.ที่ 74+525) - บ้านวังรี,Highway 3395 (km 74+525) - Ban Wang Ri
บ้านทุ่ม - มัญจาคีรี,Thum -Manja Kiri
เทศบาลลำนารายณ์ - ช่องสำราญ,Lam Narai Municipality - Chong Samran
แยกทางหลวงหมายเลข 210 (กม.ที่ 39+000) - บ้านนาด้วง,Highway 210 (Km 39+000) - Ban Na Duang
ทรายกาด - บ้านลุง,Kad Sai - Uncle House
บ้านไผ่ - ท่าพระ,Ban Phai - Tha Phra
แยกทางหลวงหมายเลข 4 (กม.ที่ 17+950) - บ้านทุ่งนาชี,Highway 4 (Km. 17+950) - Ban Thung Na Chee
ตาก - วังม่วง,Tak -Wang Muang
วังไผ่ -โนนปอแดง,Wang Phai -Non Por Daeng
แยกทางหลวงหมายเลข 4060 (กม.ที่ 49+981) - บ้านบริจ๊ะ,Highway 4060 (km 49+981) - Ban Bor
แยกทางหลวงหมายเลข 3093 (กม.11+740) - บ้านคุ้งกระถิน,Highway intersection number 3093 (km 11+740) - Ban Khung Khen
แยกทางหลวงหมายเลข 2378 (กม.ที่ 16+000) - เมืองสุรินทร์,Highway 2378 (Km 16+000) - Mueang Surin
อรุณอมรินทร์ - พุทธมณฑลสาย 4,Arun Amarin - Phutthamonthon Sai 4
แยกทางหลวงหมายเลข 4113 (กม.ที่ 13+200) - บ้านทุ่งลัง,Highway 4113 (km 13+200) - Ban Thung Lanka
แยกทางหลวงหมายเลข 33 (กม.ที่ 120+550) - บ้านชะอม,Highway 33 (Km. 120+550) - Ban Chaom
ดอนแจง - สุพรรณบุรี,Don Chang -Suphanburi
แยกทางหลวงหมายเลข 305 (กม.ที่ 44+125) - บ้านบางน้ำเปรี้ยว (ตอนนครนายก),Highway 305 (km 44+125) - Ban Bang Nam Priao (episode Nakhon Nayok)
แยกทางหลวงหมายเลข 1128 (กม.ที่ 13+675) - สถานีพัฒนาการเกษตรที่สูงตามพระราชดำริบ้านสันติสุข,Highway 1128 (Km. 13+675) - High Agricultural Development Station under the royal initiative of Ban Santisuk
แยกทางหลวงหมายเลข 407 (กม.ที่ 17+775) - บ้านแขยง,Highway 407 (km 17+775) - Ban Khaeng
ห้าแยกฉลอง - กะรน,Chalong -Karon Intersection
แยกทางหลวงหมายเลข 43 (กม.ที่ 60+200) - บ้านตลิ่งชัน,Highway 43 (km 60+200) - Ban Taling Chan
แยกทางหลวงหมายเลข 202 (กม.ที่ 38+930) - บ้านเหล่าหมากคำ,Highway 202 (Km 38+930) - Ban Lao Mak Kham
แม่ต๋ำ - บ้านใหม่,Mae Tam - Ban Mai
องครักษ์ - นครนายก,Guard - Nakhon Nayok
ตาฮะ -  ลำพังชู,Eye -alone
แยกทางหลวงหมายเลข 24 (กม.ที่ 109+450) - บ้านดอนอะราง,Highway 24 (Km. 109+450) - Ban Don Arang
แยกทางหลวงหมายเลข 202 (กม.ที่ 57+300) - บ้านอีโคตร,Highway intersection number 202 (km 57+300) - Ban Ek
ตลาดเขต - จรเข้สามพัน,District Market - Crocodile Sam Phan
โป่งเกลือ - บ้านปล้อง,Pong Kluea - Ban Plong
พังงา - ทับปุด,Phang Nga - Thap Put
ย้อมพัฒนา - นาโพธิ์,Dye Phatthana -Na Pho
โนนหัน - ผานกเค้า,Non Han - Pha Nok Khao
สร้างค้อ - สกลนคร,Create Ko -Sakon Nakhon
สี่แยกโพธิ์ทอง - พัทลุง,Pho Thong intersection - Phatthalung
หนองบัวเหนือ - ท่าปุย,Nong Bua Nuea - Tha Pui
เนินสูง - ด่านชุมพล,Hill Sung - Chumphon checkpoint
เนินพิชัย - คลองหวะ,Noen Pichai - Khlong Wa
กิ่วกาญน์ - เชียงของ,Kio Kan - Chiang Khong
น้ำอ่าง - วังผาชัน,Ang Pha Chan water
สี่แยกโชคชัย - หนองมัน,Chokchai -Nong Man intersection
สามโก้ - สีบัวทอง,Three Ko - Si Bua Thong
แยกทางหลวงหมายเลข 9 (กม.ที่ 40+546) - บ้านหนองไผ่ขาด,Highway 9 (km 40+546) - Ban Nong Phai
บางสวรรค์ - บางหล่อ,Some heaven - Bang Lo
สว่างแดนดิน-สูงเนิน,Sawang Daen Din-Sung Noen
แยกทางหลวงหมายเลข 317 (กม.ที่ 18+450) - บ้านตะบกเตี้ย,Highway intersection number 317 (Km. 18+450) - Ban Tabang Tia
แยกทางหลวงหมายเลข 1248 (กม.ที่ 9+700) - บ้านแก่งทุ่ง,Highway 1248 (Km 9+700) - Ban Kaeng Thung
คลองวง - ท่าท้อน,Khlong Wong - Tha Yong
ทับไทร - เทพนิมิต,Thap Tai - Thep Nimit
แยกบึงบอระเพ็ด - เกรียงไกรกลาง,Bueng Borapet Intersection - Kriang Krai Klang
คลองยาง - นครนายก,Khlong Yang - Nakhon Nayok
บ้านพละ - ปะทิว,Ban Phla -Pathi
แยกทางหลวงหมายเลข 1193 (กม.ที่ 3+300) - บ้านสันป่าม่วง,Highway 1193 (Km 3+300) - Ban San Pa Muang
ลพบุรี - ป่าหวาย,Lop Buri - Wai Wai
วัดนาบุญ - คลอง 14,Wat Na Bun - Khlong 14
ศรีประจันต์ - ปากน้ำ,Sri Prachan - Pak Nam
เชียงใหม่ - บ้านโป่ง,Chiang Mai - Ban Pong
ตาลเดี่ยว - ซับบอน,Single Tan - Sub Bon
หนองมะค่า - ศรีเทพน้อย,Nong Makha -Sri Thep Noi
คลองพระยาสุเรนทร์ - บางพลี,Khlong Phraya Suren - Bang Phli
แยกทางหลวงหมายเลข 107 (กม.ที่ 41+900) - บ้านสบเปิง,Highway 107 (km 41+900) - Ban Sop Peng
ตาคลี - ดอนรังนก,Takhli - Don Nok
หนองดง - โพนทอง,Nong Dong - Phon Thong
นางรอง - โคกตะแบก,Nang Rong -Khok Tabaek
พระประแดง - บางแค,Phra Pradaeng - Bang Khae
สุพรรณบุรี - ศรีประจันต์,Suphanburi - Sri Prachan
บึงหลัก - หนองน้ำเขียว,Lak Bueng - Nong Nam Khiao
แม่น้ำตราด - หาดเล็ก,Trat River - Hat Lek
เขาไร่ยา - แพร่งขาหยั่ง,Khao Rai Ya - Cruises
นาคู - ป่าโมก,Naku - Pa Mok
จุน - ห้วยคอกหมู,Jun - Huai Khok Pig
วังชมภู - บ้านโตก,Wang Chomphu - Ban Tok
ศีขรภูมิ - ศรีณรงค์,Sikhoraphum - Sri Narong
เชียงใหม่ - ปากทางท่าลี่,Chiang Mai - Pak Tha Li
นาอิน - ชัยมงคล,Na -in -Chai Mongkhon
ด่านขุนทด - หนองกราด,Dan Khun Thot - Nong Krad
โนนสะอาด - อุดรธานี,Non Sa -at - Udon Thani
ร้องกวาง - แม่ยางฮ่อ,Rang Kwang - Mae Yang Ho
กลุ่มพระบาท - ซับน้อยเหนือ,Phrabat - Little Little
แยกทางหลวงหมายเลข 212 (กม.ที่ 72+865) - บ้านโพนเมือง,Highway 212 (km 72+865) - Ban Phon Mueang
ดงหลวง - สานแว้,Dong Luang - Warwa
แยกทางหลวงหมายเลข 4 (กม.ที่ 127+300) - บ้านแหลม,Highway 4 (Km. 127+300) - Ban Laem
เสลภูมิ - ยโสธร,Selaphum -Yasothon
แยกทางหลวงหมายเลข 11 (กม.ที่ 3+800) - บ้านทองเอน,Highway 11 (km 3+800) - Ban Thong Ene
ลาดยาว - เขาชนกัน,Lat Yao - Khao Chon
หนองบัว - ท่าบ่อ,Nong Bua - Tha Bo
แยกทางหลวงหมายเลข 42 (กม.ที่ 207+275) - บ้านค่าย,Highway 42 (km at 207+275) - Ban Khai
ไดตาล - น้ำสาดเหนือ,Dai Tan - Water splashes north
บางนา-ท่าเรือ,Bang Na-Port
สระพระ - ห้วยทรายใต้,Phra -Huai Sai Tai Pool
เขาบ่อ - ท่าทอง,Khao Bo -Tha Thong
ท่าพะเนียด - โป่งปัด,Phan Phan -Pongwad
ไร่โคกสูง - โคกกรวด,High Cock Farm - Khok Kru
ห้วยทรายใต้ - วังยาว,Huai Sai Tai - Wang Yao
หนองขาว  - ตลาดเขต,Nong Khao - Market
พังงอน - เขาแหลม,Phang Neng - Khao Laem
สุวรรณภูมิ - โนนชัยศรี,Suvarnabhumi - Non Chaisri
ศรีมงคล - น้ำอ้อม,Sri Mongkol - Nam Om
บุรีรัมย์ - โคกสูง,Buriram -Khok Sung
แยกทางหลวงหมายเลข 304 (กม.ที่ 21+550) - บ้านคลองผักขม,Highway 304 (Km. 21+550) - Ban Khlong Phak Kham
วารินชำราบ - สว่างวีระวงศ์,Warin Chamrap - Sawang Wirawong
ท่าอากาศยานสุราษฎร์ธานี - ค้อล่าง,Surat Thani Airport - Lower
แยกทางหลวงหมายเลข 117 (กม.ที่ 170+625) - บ้านคลองตะเข้,Highway 117 (km at 170+625) - Ban Khlong Tak
หางตลาด - ศรีสำราญ,Tail Market - Sri Samran
บางแพ - บางพรม,Bang Phae - Bang Phrom
เข็กน้อย - แยกอาเซียน,Little Khek - ASEAN Intersection
อุโมงค์ - กองบิน 41,Tunnel - Wing 41
พระทองคำ - ดอนไผ่,Golden Buddha - Don Phai
พญาไท-ศรีนครินทร์,Phaya Thai-Srinakarin
หนองไผ่ - นาเฉลียง,Nong Phai -Na Chaliang
ถนนวงแหวนรอบเมืองสุรินทร์,Ring Road around Surin
แยกทางหลวงหมายเลข 340 (กม.ที่ 57+170) - บ้านไผ่กองดิน,Highway intersection number 340 (km 57+170) - Ban Phai Kong Din
บ้านม่วง - กมลาไสย,Ban Muang - Kamla Sai Sai
อุบลราชธานี - ตระการพืชผล,Ubon Ratchathani - Trakan Phuetphon
กำแพงเพชร - แก้วสุวรรณ,Kamphaeng Phet - Kaewsuwan
หัวถนน - เฉลิมพระเกียรติ,Head of Road - Chaloem Phrakiat
กุรุคุ - นครพนม,Kuruku - Nakhon Phanom
ธัญบุรี - คลองระพีพัฒน์,Thanyaburi - Khlong Raphiphat
ลำพูน - สะพานศรีวิชัย,Lamphun - Srivichai Bridge
แยกทางหลวงหมายเลข 3064 (กม.ที่ 9+800) - บ้านคลองขุน,Highway 3064 (Km 9+800) - Ban Khlong Khun
คลองพลังด้านใต้ - เนินสว่าง,Southern power canal - Noen Sawang
เขาหินซ้อน - ลาดตะเคียน,Khao Hin Son - Lat Takhian
แยกการช่าง - เชิงบันไดเขาพระวิหาร,Separate the mechanic - foot of the temple
สุขสวัสดิ์-บางขุนเทียน,Suksawat-Bang Khun Thian
ชัยมงคล- บึงหลัก,Chai Mongkhon- Lak Bueng
กาฬสินธุ์ - ลำชี,Kalasin -Lamchi
นราธิวาส - มะนังตายอ,Narathiwat - Manang Dead
เชื้อเพลิง - ปราสาท,Fuel - Castle
บ้านดี - ปาลัส,Dee -Palas
โคกสุมุ - บ้านโคก,Khok Sumu - Ban Khok
ยโสธร- สะพานคลองลำเซ,Yasothon- Khlong Lamsee Bridge
บางบัวทอง -  ลาดบัวหลวง,Bang Bua Thong - Lat Bua Luang
แยกทางหลวงหมายเลข 333 (กม.ที่ 22+100) - บ้านหนองหญ้าไซ,Highway 333 (km 22+100) - Ban Nong Ya Sai
ปางไฮ - ห้วยไผ่,Pang Hai - Huai Phai
แพรกหนามแดง - วังมะนาว,Phraek Nam Daeng - Wang Manao
วัดอำภาศิริวงศ์ - คลอง 16,Wat Ampha Siriwong - Khlong 16
แยกทางหลวงหมายเลข 323 (กม.ที่ 98+650) - บ้านองครักษ์,Highway intersection number 323 (km 98+650) - Baan Ongkharak
กันทรวิชัย - บ้านขี,Kantharawichai - Ban Khi
ไม้เสียบ - สี่แยกโพธิ์ทอง,Wood - Pho Thong intersection
พระปรง - โนนจิก,Phra Pong -Nonchik
ดาวคะนอง-ท่าเรือ,Dao Khanong-Port
แยกทางหลวงชนบท สค.2006 (กม.ที่ 5+500) - บ้านหนองสองห้อง,"Junction of Rural Road, Aug. 2006 (Km 5+500) - Ban Nong Song Hong"
น้ำดุก - ห้วยซำมะคาว,Nam Duk - Huai Sum Makha
ท่าศาล - นางบวช,Tha Kan -Nang Buat
หนองผ้าอ้อม - สี่แยกสมเด็จ,Nong Rom - Somdet intersection
ห้วยน้ำริน - อุ้มผาง,Huai Nam Rin - Umphang
นาทวี - ด่านประกอบ (เขตแดนไทย/มาเลเซีย),Nathawi -Dan Prakob (Thai Border/Malaysia)
ร้องธาร - ม่วงโตน,Sang Than -Muang Ton
ห้วยช้าง - ศรีสัชนาลัย,Huai Chang - Si Satchanalai
ปางแก - อุทยานแห่งชาติเขาใหญ่,Pang Kae - Khao Yai National Park
โนนชัยศรี - บ้านบ่อ,Non Chai Si - Ban Bo
ปากภู - โคกใหญ่,Pak Phu -Khok Yai
ท่าพระ - หนองสระพัง,Tha Phra -Nong Sa Phang
